orgID,oldID,Material,Description,PartTypeID,Material type,Material Group,Price,Price Unit,Notes
1,293,1112985,"Plastic, CPU Baffle, Conan",12,ZROH,05,"11,230.00",1000,
1,294,1112986,"Assy, CPU Baffle, Conan",8,ZROH,05,"4,430.00",1000,
1,295,1113064,"Options Hard Drive, 18T HSMR (19.4TB), S",24,ZMOD,05,,,
1,296,1113065,"Options Hard Drive, 18T HSMR (19.4TB), S",24,ZMOD,05,,,
1,297,1113292,"SCR,M4X.7MMX10MM L,PAN,PHILLIPS,STL,ZN",17,ZROH,05,105.00,1000,
1,298,1113348-01,"Motherboard, PCBA, Astoria, Pre-EVT, Meg",24,ZHLB,03,"1,203,390.00",1000,
1,299,1113348-02,"Motherboard, PCBA, Astoria, EVT1, Meg6G,",24,ZHLB,05,0.00,1000,
1,300,1113348-03,"Motherboard, PCBA, Astoria, EVT2, Meg6G,",24,ZHLB,05,"1,117,640.00",1000,
1,301,1113353,"Assy, Tray, ASTORIA, Genoa, Super Big Gu",24,ZFRT,01,"2,898,500.00",1000,
1,302,1113356-01,"Assy, IO Module, Orizuru, ISZ, 1xShort I",24,ZMOD,SM009,,,
1,303,1113357-01,"Assy, IO Module, Orizuru-GSSD, IGS, 1xSh",24,ZMOD,03,,,
1,304,1113358,CPU Heatsink,24,ZROH,05,0.00,1000,
1,305,1113445,"Fan Assembly Mech, 60x60x38 mm, 5 Impell",8,ZROH,03,"6,152.37",1000,
1,306,1113485-01,"Programmed Device, SPI Flash, Agora V2,",24,ZROH,03,0.00,1000,
1,307,1113490,"Assy, Tray, Ikea 3.0/4.0, Rackback Slide",24,ZFRT,01,"1,170,470.00",1000,
1,308,1113499-01,"Programmed Device, Flash, Agora V2, BMC,",24,ZROH,03,0.00,1000,
1,309,1113705,"Assy, Tray, Ikea 4.0 RBS, Flatback Slide",24,ZFRT,01,"4,485,600.00",1000,
1,310,1113706,"Assy, Tray, Ikea 3.0/4.0, Rackback Slide",24,ZFRT,01,"4,771,470.00",1000,
1,311,1113720,"Sheet Metal, IZU x16 PCIe Dummy Bracket",3,ZROH,05,215.79,1000,
1,312,1113720-FLG,"Sheet Metal, IZU x16 PCIe Dummy Bracket",24,ZROH,05,0.00,1000,
1,313,1113925-01,"Memory, 128GB, Samsung-RBS-MPS, DDR5-480",1,ZROH,02,0.00,1000,
1,314,1114015,FOAM,12,ZROH,05,230.00,1000,
1,315,1114156-01,"Memory, 32GB, Hynix-Rambus-Renesas, DDR5",1,ZROH,02,"220,000.00",1000,
1,316,1114157-01,"Memory, 32GB, Hynix-Renesas-TI, DDR5-480",24,ZROH,02,0.00,1000,
1,317,1114189,"ASM, EMC Front Panel, Granite, PE0, ILK/",26,ZROH,05,"8,120.00",1000,
1,318,1114467,"Screw, Flathead, Low thickness head, Phi",17,ZROH,05,10.00,1000,
1,319,1114485,"Packaging, Top Level Assembly, Truck Pac",24,ZROH,04,0.00,1000,
1,320,1114485-01,Conan Tray Truck Pack TLA,24,ZROH,04,0.00,1000,
1,321,1114808,"Fan Assembly Mech, 80x80x38 mm, Plastic",24,ZROH,05,"11,620.00",1000,
1,322,1114809,"Fan, 40x40x28 mm, 25000 RPM, 10.8V-13.2V",3,ZROH,05,"7,624.71",1000,
1,323,1115087,"Options, Fan Assembly, Rackback VE, Fan,",24,ZMOD,SM009,,,
1,324,1115088,"Fan Assembly Mech, Rackback VE, 80x80x25",15,ZROH,02,"5,440.00",1000,
1,325,1115089,"Fan Assembly Mech, Rackback VE, 80x80x25",16,ZROH,02,0.00,1000,
1,326,1115416,"LABEL, SYSTEM, Rackback-VE",11,ZROH,02,0.00,1000,
1,327,1115416,"LABEL, SYSTEM, Rackback-VE",24,ZROH,02,0.00,1000,
1,328,1115418,"LABEL, SYSTEM, Flatback-VE",24,ZROH,02,0.00,1000,
1,329,1115424,"Label, Agency, 78mm x 50mm, Metalized Si",24,ZROH,05,255.28,1000,
1,330,1115450,"Option, LABEL, SYSTEM, Rackback-VE, Use",24,ZMOD,SM009,,,
1,331,1115451,"Option, LABEL, SYSTEM, Flatback-VE, Use",24,ZMOD,SM009,,,
1,332,1115589,"Assy, Tray, Conan, 1xAltra 64/3.0, 1x64G",24,ZFRT,01,"735,620.29",1000,
1,333,1115706-01,"Assy, PCIe Cable, 1xShort IO Adapter, on",12,ZROH,05,"72,300.00",1000,
1,334,1115708-01,"Assy, PCIe cable, 1xShort IO Adapter, 1",12,ZROH,05,"102,800.00",1000,
1,335,1117005,"Gasket, EMI Fan Honeycomb",4,ZROH,05,"15,827.16",1000,
1,336,1117170-01,"Memory, 32GB, Micron-Montage/Renesas-MPS",24,ZROH,02,0.00,1000,
1,337,1117363-01,"Motherboard, PCBA, Astoria, Pre-EVT, EM8",24,ZROH,03,0.00,1000,
1,338,1117363-02,"Motherboard, PCBA, Astoria, EVT1, Meg6G,",24,ZHLB,05,"1,014,410.00",1000,
1,339,1117363-02-D,"Motherboard, PCBA, Astoria, EVT1, Meg6G,",24,ZHLB,05,"1,014,410.00",1000,
1,340,1117363-03,"Motherboard, PCBA, Astoria, EVT2, EM891,",24,ZHLB,05,"1,114,570.00",1000,
1,341,1117364,"Option, Motherboard, PCBA, Astoria, RoHS",24,ZMOD,03,,,
1,342,1117606,"Packaging, Top Level Assembly, Truck Pac",23,ZROH,04,0.00,1000,
1,343,1118705,"Hard Drive, LongsPeak 20TB HSMR, 7200 RP",13,ZROH,02,"302,365.30",1000,
1,344,1118803-01,"Motherboard, PCBA, Conan, PCB Meg6G_HVLP",18,ZHLB,05,"971,470.00",1000,
1,345,1118803-01_VICOR_NBM,"Motherboard, PCBA, Conan, PCB Meg6G_HVLP",24,ZHLB,05,0.00,1000,
1,346,1118972,"Hard Drive, LongsPeak 19TB HSMR, 7200 RP",13,ZROH,02,"287,150.38",1000,
1,347,1119041-01,"Assy, DC-SCM, AGORA V2AH, Meg4S+RTF, EVT",24,ZHLB,05,0.00,1000,
1,348,1119041-03,Astoria_AGORA_V2AH_DVT1(MEGTRON 4S+RG311,24,ZHLB,SM007,"62,347.41",1000,
1,349,1119098,"Assy, CPU Heatsink, 6HP, 3 Al Fin Stack,",24,ZROH,05,"468,430.00",1000,
1,350,1119241-01,"Motherboard, PCBA, Xena, pre-EVT, RoHS",24,ZHLB,05,"629,790.00",1000,
1,351,1119241-02,"Motherboard, PCBA, Xena, pre-EVT, RoHS",24,ZHLB,05,"1,052,380.00",1000,
1,352,1119243-01,"Assy, Agora-V2ND, DC-SCM, Xena, pre-EVT,",24,ZHLB,05,"206,340.00",1000,
1,353,1119244,"Option, Motherboard, PCBA, Conan, PVT, R",24,ZMOD,SM009,,,
1,354,1119245,"Assy, Tray, Conan, 1xAltra 64/3.0, Base",24,ZMOD,SM009,,,
1,355,1119246,"Assy, Tray, Conan, 1xAltra 64/3.0, 1x64G",24,ZFRT,01,"3,299,420.00",1000,
1,356,1119679-01,"Assy, Warthog, PCIe Gen4 x8, 4096GB TLC,",1,ZROH,02,0.00,1000,
1,357,1119757,"Option, Flash Card, PCIE, Warthog, 4096G",24,ZMOD,SM009,,,
1,358,1119757-01,"Option, Flash Card, PCIE, Warthog, 4096G",24,ZMOD,SM009,,,
1,359,1119757-02,"Option, Flash Card, PCIE, Warthog, 4096G",24,ZMOD,SM009,,,
1,360,1119757-03,"Option, Flash Card, PCIE, Warthog, 4096G",24,ZMOD,SM009,,,
1,361,1119758,"Assy, Warthog w/ Option, 4096GB Prod War",24,ZMOD,SM009,,,
1,362,1119758-01,"Assy, Warthog w/ Option, 4096GB Prod War",24,ZMOD,SM009,,,
1,363,1119758-02,"Assy, Warthog w/ Option, 4096GB Prod War",24,ZMOD,SM009,,,
1,364,1119758-03,"Assy, Warthog w/ Option, 4096GB Prod War",24,ZMOD,SM009,,,
1,365,1119956,"Assy, Tray, ASTORIA, Base Config, EVT1",24,ZMOD,SM009,,,
1,366,1119957,AMD EPYC Processor - 14/96/320 ES1:EVT1,24,ZROH,02,0.00,1000,
1,367,1119958,"Options, Heatsink, CPU, Astoria, EVT1",24,ZMOD,SM009,,,
1,368,1119963,"Option, Motherboard, PCBA, Astoria, RoHS",24,ZMOD,SM009,,,
1,369,1119965,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,578,920.00",1000,
1,370,1119972,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,749,260.00",1000,
1,371,1119973,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,361,370.00",1000,
1,372,1119974,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,602,270.00",1000,
1,373,1119975-01,"Assy, PCBA, Flatback-VE, PVT, RoHS ",15,ZROH,02,"171,870.00",1000,none remaining?
