Material,Plant,Valuation Type,Material description,Last Change,Material type,Material Group,Base Unit of Measure,Purchasing Group,ABC Indicator,MRP Type,Valuation Class,Price control,Price,Currency,Price unit,Created by
GRM035C80J225ME01D-G,FW62,,"CAP,MLCC,2.2uF,+/-20%,X6S,6.3V,SMD0201,G",09/28/2022,ZROH,UMOTHR,KPC,SP4,B,PD,3000,V,0.00,USD,1,FIIWENG02
GRM035R60J475-G,FW62,,"CAP,MLCC,4.7uF,+/-20%,X5R,6.3V,SMD0201,G",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,922.00,USD,10,FIIWENG02
GRM1555C1H100-G,FW62,,"CAP CHIP 10P 50V(+-2%,NPO,0402)MUR",09/07/2022,ZROH,UMOTHR,EA,SP4,A,PD,3000,V,16.60,USD,"10,000",FIIWENG02
GRM1555C1H222JA01D,FW62,,CAP CER MLCC,09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,922.00,USD,10,FIIWENG02
GRM1555C1H472JA01D,FW62,,"CERAMIC CAP, MLCC 0.0047UF 50VDC",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,922.00,USD,10,FIIWENG02
GRM1555C1H472JE01D,FW62,,"CAP,MLCC,4700pF,+/-5%,C0G,50V,SMD0402,G",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,50.00,USD,10,FIIWENG02
GSGP0230SD-G,FW62,,Diode,09/07/2022,ZROH,UMOTHR,KPC,SP2,C,PD,3000,V,0.00,USD,10,FIIWENG02
GSGP06140-G,FW62,,TBD,09/07/2022,ZROH,UMOTHR,KPC,FWJ,B,PD,3000,V,0.00,USD,1,FIIWENG02
H1606BA21A0C01-G,FW62,,LED LAMP,09/07/2022,ZROH,UMOTHR,KPC,SP5,C,PD,3000,V,0.00,USD,10,FIIWENG02
H1606BB12E0C03-G,FW62,,LED LAMP,09/07/2022,ZROH,UMOTHR,KPC,SP5,C,PD,3000,V,0.00,USD,10,FIIWENG02
H1606BG42A0C01-G,FW62,,LED LAMP,09/07/2022,ZROH,UMOTHR,KPC,SP5,C,PD,3000,V,0.00,USD,10,FIIWENG02
H1606BW31A0C03-G,FW62,,LED LAMP,09/07/2022,ZROH,UMOTHR,KPC,SP5,C,PD,3000,V,0.00,USD,10,FIIWENG02
H1608AG41A0C15-G,FW62,,LED LAMP,09/07/2022,ZROH,UMOTHR,KPC,SP5,C,PD,3000,V,0.00,USD,10,FIIWENG02
HARDWARE,FW62,,"SCREW,NUT,BRASS",07/15/2022,ZROH,UMOTHR,EA,SP4,A,PD,3000,V,0.00,USD,1,FIIWENG02
HBC1051-L300D-EH-G,FW62,,TBD,09/07/2022,ZROH,UMOTHR,EA,FI2,C,PD,3000,V,0.00,USD,1,FIIWENG02
HBF1027-L200D-EH-G,FW62,,TBD,09/07/2022,ZROH,UMOTHR,EA,FI2,C,PD,3000,V,0.00,USD,1,FIIWENG02
HCB118050I-151FN,FW62,,"Coil Ind,Shielded(SHLD),150nH@100KHz,+/-",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,"2,400.00",USD,10,FIIWENG02
HCB118080S-221FN,FW62,,"Coil Ind,Shielded(SHLD),HCB118080S-221FN",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,190.00,USD,1,FIIWENG02
HCB1608KF-110T40-G,FW62,,TBD,09/07/2022,ZROH,UMOTHR,KPC,FWJ,B,PD,3000,V,0.00,USD,1,FIIWENG02
HCME656510F-101FN-G,FW62,,Coil Ind,09/07/2022,ZROH,UMOTHR,KPC,FWJ,C,PD,3000,V,0.00,USD,1,FIIWENG02
HCME656510F-221FN -G,FW62,,Coil Ind,09/07/2022,ZROH,UMOTHR,KPC,FWJ,C,PD,3000,V,0.00,USD,1,FIIWENG02
HCTE1012G-700-G,FW62,,"Coil Ind,Shielded(SHLD),3.3uH@1KHz,+/-30",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,0.00,USD,"10,000",FIIWENG02
HLC2047-LB00K-9H-G,FW62,,Header&Socket Connector,09/07/2022,ZROH,UMOTHR,EA,FI2,C,PD,3000,V,0.00,USD,1,FIIWENG02
HMP2613-3R7G,FW62,,"Coil Ind,3.7uH,+/-10%,40A,1.16mOhm,SMD,G",09/07/2022,ZROH,UMOTHR,KPC,SP4,A,PD,3000,V,"21,500.00",USD,10,FIIWENG02
HMP26133R7QL-G,FW62,,"Coil Ind,3.7uH,+/-10%,40A,1.16mOhm,SMD,G",09/07/2022,ZROH,UMOTHR,KPC,FWJ,C,PD,3000,V,0.00,USD,10,FIIWENG02
HMTSW-108-23-F-S-240-G,FW62,,TBD,09/07/2022,ZROH,UMOTHR,EA,FWJ,B,PD,3000,V,0.00,USD,1,FIIWENG02
HPB2012ZF-601T15,FW62,,"FB,Multilayer,10mOhm,600Ohm@100KHz,1.5A,",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,922.00,USD,10,FIIWENG02
HPCL1V0630-2R-G,FW62,,"Coil Ind,Shielded(SHLD),",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,"1,000.00",USD,10,FIIWENG02
HS1066000-G,FW62,,Heatsink,09/07/2022,ZROH,UMOTHR,EA,SP4,A,PD,3000,V,3.24,USD,1,FIIWENG02
HSC0011000908H-G,FW62,,Connector,09/07/2022,ZROH,UMOTHR,EA,SP1,C,PD,3000,V,0.00,USD,"10,000",FIIWENG02
HSC0111520909H-G,FW62,,Connector,09/07/2022,ZROH,UMOTHR,EA,SP1,C,PD,3000,V,0.00,USD,"10,000",FIIWENG02
INDUS BMC,FW62,,ec_indus.bin,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,V,"43,411.48",USD,"10,000",FIIWENG02
INDUS CPLD,FW62,,indus_cpld_1.7.jed,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,V,"30,084.77",USD,"10,000",FIIWENG02
INDUS VRD SEQ,FW62,,Indus EVT1.2_rev10.xml,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,V,"164,412.02",USD,"10,000",FIIWENG02
IPB033N10N5LFATMA1-G,FW62,,"MOSFET-N,",09/07/2022,ZROH,UMOTHR,KPC,SP2,C,PD,3000,V,0.00,USD,1,FIIWENG02
ISL69260-XENA,FW62,,"Linear IC,Power Controller,ISL69260IRAZ-",09/08/2022,ZROH,UMOTHR,EA,SP5,A,PD,3000,V,0.00,USD,1,FIIWENG02
JFM3811T-FL0A-7H-G,FW62,,Connector,09/07/2022,ZROH,UMOTHR,EA,SP1,C,PD,3000,V,0.00,USD,"10,000",FIIWENG02
JJN-60LS-G,FW62,,"Fuse,",09/07/2022,ZROH,UMOTHR,EA,SP4,A,PD,3000,V,"60,000.00",USD,"10,000",FIIWENG02
JMP1N03-RAF01-7H-G,FW62,,Connector,09/07/2022,ZROH,UMOTHR,EA,SP1,C,PD,3000,V,0.00,USD,"10,000",FIIWENG02
JMSH1004AE-13-G,FW62,,100V 3.0m N-Ch Power MOSFET,06/30/2022,ZROH,UMOTHR,EA,SP2,A,PD,3000,V,0.00,USD,10,FIIWENG02
KC3225Z1.8432-G,FW62,,"OSC,1.8432MHz,+/-20ppm,3.63V,SMD,G",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,0.00,USD,"10,000",FIIWENG02
L0805C47NJRMST,FW62,,"Coil Ind,Shielded(SHLD),47uH@1MHz,min,30",09/07/2022,ZROH,UMOTHR,KPC,SP4,A,PD,3000,V,922.00,USD,10,FIIWENG02
L0805R470MPWRT,FW62,,"Chip Ind,Multilayer Inductor(ML),47uH@11",09/07/2022,ZROH,UMOTHR,KPC,SP4,A,PD,3000,V,478.00,USD,10,FIIWENG02
LDK320AM50R,FW62,,"LinearIC,PowerController,5V,SOT23,5P,G",09/07/2022,ZROH,UMOTHR,EA,SP5,A,PD,3000,V,579.70,USD,"10,000",FIIWENG02
LMV331SE-7-G,FW62,,IC TRNSLTR BIDIRECTIONAL 20TSSOP,09/07/2022,ZROH,UMOTHR,EA,SP2,A,PD,3000,V,"1,000.00",USD,"10,000",FIIWENG02
LT3014ES5#TRPBF,FW62,,"LinearIC,PowerController,20mA,SOT-23,5-p",09/07/2022,ZROH,UMOTHR,EA,SP5,A,PD,3000,V,"16,600.00",USD,"10,000",FIIWENG02
LTST-S110KGKT-G,FW62,,"LED LAMP,LTST-S110KGKT",09/07/2022,ZROH,UMOTHR,KPC,SP2,A,PD,3000,V,0.00,USD,1,FIIWENG02
LTST-S110KSKT-G,FW62,,LED LAMP,09/07/2022,ZROH,UMOTHR,KPC,SP5,A,PD,3000,V,10.55,USD,1,FIIWENG02
LTW-110TS5-G,FW62,,"LED LAMP,LTW-110TS5",09/07/2022,ZROH,UMOTHR,KPC,SP2,A,PD,3000,V,0.00,USD,1,FIIWENG02
M50-3600542R-G,FW62,,"Header&Socket Connector,53C-90-10GBE0,Sh",09/07/2022,ZROH,UMOTHR,EA,SP1,A,PD,3000,V,"11,329.00",USD,"10,000",FIIWENG02
M50080I03-G,FW62,,SCREW M5*8-I(ZN)STEEL,09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,0.00,USD,"10,000",FIIWENG02
MAX15096GWE+T-G,FW62,,IC OTHER(16P)MAX15096GWE+T(WLP),09/07/2022,ZROH,UMOTHR,EA,SP5,A,PD,3000,V,"4,740.00",USD,"10,000",FIIWENG02
MAX17761ATC+T,FW62,,"LinearIC,PowerController,1A,TDFN,12P,G",09/07/2022,ZROH,UMOTHR,EA,SP5,A,PD,3000,V,"13,633.30",USD,"10,000",FIIWENG02
MAX31725MTA+T-G,FW62,,"Linear IC,Sensor,Temperature Sensor,L2/R",09/07/2022,ZROH,UMOTHR,EA,SP5,A,PD,3000,V,"9,990.00",USD,"10,000",FIIWENG02
MAX34451ETNA2+T,FW62,,"LinearIC,PowerController,MAX34451ETNA2+T",09/07/2022,ZROH,UMOTHR,EA,SP5,A,PD,3000,V,"24,800.00",USD,"10,000",FIIWENG02
MCB180N10Y-TP-G,FW62,,MOSFET N-CHANNEL MOSFET,06/30/2022,ZROH,UMOTHR,EA,SP2,A,PD,3000,V,0.00,USD,10,FIIWENG02
MCL0200801-G,FW62,,"SPRING WASHER M5 STEEL L02N(MCL02008,3A)",09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,0.00,USD,"10,000",FIIWENG02
MCL02008010-G,FW62,,##,09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,0.00,USD,1,FIIWENG02
MCL0900201-G,FW62,,"M5 WASHER STEEL L09B(MCL09002,REV3A)",09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,0.00,USD,"10,000",FIIWENG02
MCL09002010-G,FW62,,##,09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,0.00,USD,1,FIIWENG02
MCP1702T-1802E/CB,FW62,,"Linear voltage regualtor IC 200mA,SOT-23",07/01/2022,ZROH,UMOTHR,EA,SP5,A,PD,3000,V,0.00,USD,1,FIIWENG02
ME1016810106011,FW62,,"EdgeCardConnector,168,SMD,LCP,0.6mm,30u""",09/07/2022,ZROH,UMOTHR,EA,SP1,A,PD,3000,V,"20,900.00",USD,"10,000",FIIWENG02
MG2100,FW62,,ASIC,07/15/2022,ZROH,UMOTHR,EA,SP2,A,PD,3000,V,0.00,USD,1,FIIWENG02
