| id    | Material             | Description                                   | SAPMaterialType | SAPMaterialGroup | Price  | PriceUnit | Notes                                                                                                                                          | PartType_id | org_id | TypicalContainerQty | TypicalPalletQty |
|  9199 | 1040827-04           | ASSY, MECHANICAL, RACKBACK SLIDER 13          | ZROH            | 03               |     79 |      1000 |                                                                                                                                                |          16 |      1 |                NULL |             NULL |
|  9200 | 1040833-04           | ASSY, MECHANICAL, FLATBACK SLIDER 15          | ZROH            | 03               |    103 |      1000 |                                                                                                                                                |          16 |      1 |                NULL |             NULL |
|  9201 | 1041332-01           | Memory, 16GB, Samsung-IDT, 2Rx8, DDR4-26      | ZROH            | 02               |    151 |      1000 |                                                                                                                                                |          15 |      1 |                NULL |             NULL |
|  9202 | 1041679-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9203 | 1041848-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9204 | 1042386              | Assy,Tray, Ikea, Base Config, Flatback S      | ZMOD            | 05               |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9205 | 1042647-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9206 | 1043337-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9207 | 1043338-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9208 | 1043339-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9209 | 1043340-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9210 | 1043341-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9211 | 1043342-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9212 | 1043342-02           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9213 | 1043343-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9214 | 1043345-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9215 | 1043346-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9216 | 1043521              | Options, CSSD-PH, PCBA, 64GB Raw, 48GB U      | ZMOD            | SM009            |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9217 | 1043647-01           | Option, Assy, PCBA, IceFyre, Broadwell D      | ZROH            | 03               |    400 |      1000 |                                                                                                                                                |          16 |      1 |                NULL |             NULL |
|  9218 | 1043648-01           | Option, Assy, PCBA, Rackback, Choose 1        | ZROH            | 03               |    190 |      1000 |                                                                                                                                                |          14 |      1 |                NULL |             NULL |
|  9219 | 1043648-02           | Option, Assy, PCBA, Rackback, Choose 1        | ZROH            | 05               |    203 |      1000 | 868_WestOfWall is NOT L10 Inventory!                                                                                                           |          16 |      1 |                NULL |             NULL |
|  9220 | 1043649-01           | PCBA, Flatback, MOSFET Fix, RoHS, QTMC        | ZROH            | 03               |    191 |      1000 |                                                                                                                                                |          16 |      1 |                NULL |             NULL |
|  9221 | 1043649-02           | PCBA, Flatback, MOSFET Fix, RoHS, QTMC        | ZROH            | 05               |    205 |      1000 |                                                                                                                                                |          16 |      1 |                NULL |             NULL |
|  9222 | 1044091-02           | BAFFLE, TRAY FILLER, PCIe SLOTS, w/ UV l      | ZROH            | UMOTHR           | 852.68 |      1000 |                                                                                                                                                |          11 |      1 |                NULL |             NULL |
|  9223 | 1045813-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9224 | 1046492-03           | Assy, Razorback PCIe x 8, 4096GB eTLC, S      | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9225 | 1048738-01           | Assy, Razorback PCIe x 8, 4096GB TLC, Op      | ZROH            | 02               |    648 |      1000 |                                                                                                                                                |           8 |      1 |                NULL |             NULL |
|  9226 | 1048740-01           | Assy, Razorback PCIe x 8, 4096GB eTLC, 2      | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |           9 |      1 |                NULL |             NULL |
|  9227 | 1053031-01           | Option, Memory, 32GB DDR4-3200MHz, 1.2V,      | ZROH            | 03               |    140 |      1000 |                                                                                                                                                |          10 |      1 |                NULL |             NULL |
|  9228 | 1053450              | SCREW, SHOULDER, 5/32", 6-32, Philips He      | ZROH            | 05               |      2 |      1000 |                                                                                                                                                |          17 |      1 |                NULL |             NULL |
|  9229 | 1054012-02           | Assy, Razorback PCIe x 8, 4096GB eTLC, S      | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9230 | 1055235-01           | Option, Memory, 32GB DDR4-3200MHz, 1.2V,      | ZROH            | 03               |    140 |      1000 |                                                                                                                                                |          10 |      1 |                NULL |             NULL |
|  9231 | 1055415              | ASM, BENCH TOP TEST,MINI PDBB, SINGLE PO      | ZROH            | 05               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9232 | 1059263-02           | LOW-PROFILE FACEPLATE, DIORITE FR DVT         | ZROH            | 05               |      3 |      1000 |                                                                                                                                                |           9 |      1 |                NULL |             NULL |
|  9233 | 1059989-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9234 | 1060725              | Options Hard Drive, 16TB, SATA, Flatback      | ZMOD            | 05               |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9235 | 1060726              | Options Hard Drive, 16TB, SATA, Rackback      | ZMOD            | 05               |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9236 | 1063638              | Assy, Tray, Ikea 3.0, Flatback Slider, 1      | ZFRT            | 01               |      3 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9237 | 1063744-01           | Memory, 32GB, Hynix-IDT, DDR4, J-Die, 29      | ZROH            | 03               |    158 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9238 | 1066991-01           | ASSY, PCBA, Temperature Sensor, I2C, Hig      | ZROH            | 05               |      3 |      1000 |                                                                                                                                                |          11 |      1 |                NULL |             NULL |
|  9239 | 1067010-01           | ASM, Base, Tray, EMC, ILK/CN                  | ZROH            | 05               |     26 |      1000 |                                                                                                                                                |          11 |      1 |                NULL |             NULL |
|  9240 | 1068789-01           | Memory, 32GB, Micron-IDT/Montage, DDR4,       | ZROH            | 03               |    147 |      1000 |                                                                                                                                                |          10 |      1 |                NULL |             NULL |
|  9241 | 1070156              | Option, Temperature Sensor, I2Cool, High      | ZMOD            | SM009            |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9242 | 1072921              | Packaging, Assembly, Truck Pack(20), inc      | ZROH            | 04               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9243 | 1073074-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |    140 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9244 | 1073076-01           | Memory, 32GB, Hynix-Montage, DDR4, D-Die      | ZROH            | 03               |    158 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9245 | 1073187              | Toshiba Hard Drive, 16TB                      | ZROH            | 03               |    216 |      1000 |                                                                                                                                                |          15 |      1 |                  20 |              800 |
|  9246 | 1073327-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |    140 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9247 | 1073465-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9248 | 1073489-01           | Memory, 32GB, Micron-Montage, DDR4, E-Di      | ZROH            | 03               |    158 |      1000 |                                                                                                                                                |          15 |      1 |                NULL |             NULL |
|  9249 | 1077815-09           | Assy, Warthog, PCIe Gen4 x8, 4096GB TLC,      | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9250 | 1080835              | Option, Assy, PCBA, IceFyre, Broadwell D      | ZMOD            | 05               |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9251 | 1081663              | Fan Assembly Mech, 60x60x38 mm, 5 Impell      | ZROH            | 03               |      6 |      1000 |                                                                                                                                                |          14 |      1 |                NULL |             NULL |
|  9252 | 1082858-01           | Assy, Granite-HD, 100GbE NIC w/ Bracket       | ZMOD            | SM009            |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9253 | 1082897              | Fan Assembly Mech, Interlaken, 60x60x38       | ZROH            | 03               |      5 |      1000 |                                                                                                                                                |          14 |      1 |                NULL |             NULL |
|  9254 | 1086866              | Storage, Hard Drive, WDC Paris-C CMR, 18      | ZROH            | 03               |    262 |      1000 |                                                                                                                                                |          15 |      1 |                NULL |             NULL |
|  9255 | 1088364-03           | FAB, PCB, Agora V2, EVT2, RoHS                | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9256 | 1088364-04           | FAB, PCB, Agora V2, EVT2, RoHS                | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9257 | 1088365-03           | BMC Card, AGORA V2, PCBA, EVT2, RoHS          | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9258 | 1088365-04           | BMC Card, AGORA V2, PCBA, DVT1, RoHS          | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9259 | 1088365-05           | BMC Card, AGORA V2, PCBA, DVT1, RoHS          | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |           8 |      1 |                NULL |             NULL |
|  9260 | 1088365-07           | BMC Card, AGORA V2, PCBA, DVT1, RoHS          | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |           8 |      1 |                NULL |             NULL |
|  9261 | 1088368-05           | PDB, PCBA, 1500W Power Supply Module, Su      | ZHLB            | 03               |    135 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9262 | 1088368-08           | Astoria_Super Big Gulp_PDB_brick_Scout B      | ZHLB            | SM007            |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9263 | 1088369-04           | FAB, PCB, PDB Adapter, Izumi, DVT1, RoHS      | ZROH            | 05               |      1 |      1000 |                                                                                                                                                |          14 |      1 |                NULL |             NULL |
|  9264 | 1088369-05           | FAB, PCB, PDB Adapter, PVT, RoHS              | ZROH            | 05               |      4 |      1000 |                                                                                                                                                |           9 |      1 |                NULL |             NULL |
|  9265 | 1090961              | Options Hard Drive, 18TB, SATA, Rackback      | ZROH            | 03               |    262 |      1000 |                                                                                                                                                |          15 |      1 |                NULL |             NULL |
